,job,company,city,salary,data
0,HTML5开发工程师,成都维纳软件股份有限公司,成都,4-8千/月,04-16
1,HTML5 Laya 开发工程师,成都好玩一二三科技有限公司,成都-高新区,1-1.5万/月,04-16
2,HTML5游戏开发工程师,成都柚子文化传媒有限公司,成都-高新区,0.8-1.3万/月,04-16
3,html5开发,博彦科技承德有限公司,成都-郫都区,0.8-1.3万/月,04-16
4,HTML5游戏开发工程师,成都游汇科技有限责任公司,成都-高新区,0.7-1.2万/月,04-16
5,HTML5开发工程师,成都友得互动科技有限公司,成都,1-1.5万/月,04-16
6,HTML5开发工程师,南京华苏科技有限公司,成都-武侯区,0.6-1.3万/月,04-16
7,HTML5开发工程师,成都孚介科技有限公司,成都-高新区,5-8千/月,04-16
8,HTML5开发助理,成都法码斯科技有限公司,成都-高新区,4.5-6千/月,04-16
9,HTML5开发工程师,四川博洋新耀信息科技有限公司,成都-武侯区,6-8千/月,04-16
10,html5前端开发工程师,四川申唐食品科技有限公司,成都,0.7-1.2万/月,04-16
11,HTML5开发工程师,四川聚阳科技集团有限公司,成都-高新区,0.7-1.2万/月,04-16
12,HTML5游戏主程序,成都雨墨科技有限公司,成都,1.3-1.8万/月,04-15
13,HTML5开发工程师,成都汇融天下网络科技有限公司,成都-高新区,3-4.5千/月,04-15
14,HTML5开发工程师,成都火龙果科技有限公司,成都,0.8-1.2万/月,04-16
15,HTML5开发工程师/助理,成都星杰电子商务有限公司,成都-金牛区,4.5-6千/月,04-15
16,年后入职-HTML5,成都愚创科技有限公司,成都-高新区,0.8-1万/月,04-15
17,HTML5开发工程师（高级）,四川众一世纪能源科技有限公司,成都-高新区,1-1.5万/月,04-12
18,HTML5开发工程师,四川伯乐帮科技有限公司,异地招聘,1.3-1.7万/月,04-10
19,HTML5开发工程师,威克斯通讯技术（成都）有限公司,成都-武侯区,0.3-1.5万/月,04-05
20,HTML5开发工程师,北京裕翔创力科技有限责任公司,成都-高新区,1-1.5万/月,04-04
21,HTML5开发工程师,四川中农智选科技有限公司,成都-郫都区,1-1.5万/月,03-30
22,HTML5游戏开发工程师,成都介凯数字科技有限公司,成都-高新区,1-2万/月,03-29
23,HTML5开发工程师,四川乐客互娱信息技术有限公司,成都-高新区,1-1.5万/月,03-27
24,HTML5前端开发人员,四川星宇天成建筑工程质量检测有限...,成都-武侯区,5-7千/月,03-20
25,HTML5开发工程师,成都迈思信息技术有限公司,成都,0.8-1万/月,03-13
26,WEB前端工程师     HTML5工程师,成都斯安科技有限公司,成都-高新区,6-8千/月,03-11
27,HTML5开发工程师,四川商通实业有限公司,成都,1-1.5万/月,02-25
28,HTML5开发/HTML移动网页工程师,四川省信泽天扬广告有限公司,成都,4.5-6千/月,02-22
29,HTML5开发工程师(成都）(000959),启迪国信科技有限公司,成都,0.8-1万/月,02-20
30,HTML5开发工程师,成都农易农科技有限公司,成都-高新区,0.6-1万/月,02-18
31,混合APP前端开发工程师,四川中童儿童互联网医院管理有限公司,成都-武侯区,0.6-1.2万/月,04-16
32,web前端开发（SDK）,成都智悠行科技有限公司,成都-高新区,0.7-1.5万/月,04-16
33,Java前端开发工程师,四川君逸数码科技股份有限公司,成都-高新区,0.6-1.5万/月,04-16
34,Web前端开发工程师,IMG泡米文化科技,成都-青羊区,1-2万/月,04-16
35,Java开发工程师,成都网丁科技有限公司,成都-高新区,0.8-1.5万/月,04-16
36,中级产品工程师,民航成都电子技术有限责任公司,成都,8-25万/年,04-16
